Gender,Age,Height(cm),Weight(kg),Body_Fat(%),Fitness_Level,Weekly_Training,Training_Type,Supplement,Supplement_Type,Usage_Period(weeks),Usage_Frequency(times/week),Diet_Type,Weight_Change(kg),Body_Fat_Change(%),Performance_Improvement(%),Satisfaction(1-10)
Female,Under_25,170-180,70,24,Intermediate,3-5_times,Strength_Training,Creatine,Monohydrate,4,6,Regular,6.1,0,11.1,10
Male,Under_25,180-190,85,18,Intermediate,Less_than_3,Strength_Training,L_Carnitine,Capsule,5,2,Regular,0.4,-1.9,2.7,8.6
Male,Over_35,180-190,82,24,Beginner,3-5_times,Endurance,Energy_Drink,Sugar_Free,6,1,Regular,-0.2,-0.1,1.4,7.4
Female,Under_25,160-170,62,25,Beginner,3-5_times,Strength_Training,Whey_Protein,Concentrate,7,4,High_Protein,3.9,-1.1,4,10
Female,Under_25,160-170,66,24,Beginner,3-5_times,Strength_Training,Whey_Protein,Concentrate,8,5,Low_Carb,3,-0.7,2.9,10
Male,Under_25,160-170,56,20,Intermediate,More_than_5,HIIT,Creatine,Monohydrate,3,6,Regular,2.8,-0.3,11.7,10
Male,Under_25,170-180,72,12,Advanced,3-5_times,Strength_Training,BCAA,Vegan,6,4,High_Protein,1.3,-0.3,7.4,10
Female,Under_25,170-180,81,25,Beginner,Less_than_3,Flexibility,Whey_Protein,Isolate,8,1,Regular,1.5,-0.4,1.1,8.9
Female,25-35,180-190,70,24,Intermediate,3-5_times,Endurance,L_Carnitine,Capsule,8,5,Regular,-0.4,-3.2,7.1,10
Male,Over_35,170-180,74,19,Intermediate,3-5_times,Endurance,Pre_Workout,Regular,5,4,High_Protein,-0.7,-0.1,10.2,10
Male,25-35,170-180,84,22,Intermediate,3-5_times,Endurance,Whey_Protein,Concentrate,7,1,Regular,1.8,-0.7,4.9,10
Male,25-35,170-180,79,15,Intermediate,Less_than_3,Strength_Training,Creatine,Monohydrate,5,4,Regular,3.7,0.1,9,10
Female,Over_35,Above_190,87,33,Advanced,3-5_times,Endurance,Whey_Protein,Concentrate,3,2,Regular,1.4,-1.2,6.8,10
Male,Under_25,170-180,78,13,Beginner,Less_than_3,Strength_Training,Whey_Protein,Isolate,3,5,Regular,2.4,-0.8,3.4,10
Male,25-35,170-180,75,22,Advanced,3-5_times,Strength_Training,Whey_Protein,Concentrate,4,5,High_Protein,6.8,-1.5,10.3,10
Male,Under_25,160-170,52,12,Intermediate,Less_than_3,Flexibility,Whey_Protein,Hydrolyzed,8,2,High_Protein,1.5,-0.8,2.2,8.8
Male,Under_25,170-180,76,13,Intermediate,3-5_times,HIIT,Creatine,HCL,3,4,High_Protein,2.7,-0.1,9.9,10
Male,25-35,Above_190,100,22,Advanced,3-5_times,Strength_Training,BCAA,Whey_Based,7,4,Low_Carb,0.6,-0.5,6.4,8.6
Male,Under_25,Above_190,91,15,Beginner,Less_than_3,Endurance,Energy_Drink,Sugar_Free,5,1,Low_Carb,-0.2,-0.2,1.3,7.5
Male,25-35,170-180,77,24,Beginner,More_than_5,Strength_Training,Creatine,Monohydrate,3,2,Low_Carb,4.8,0,12.1,10
Male,25-35,180-190,92,20,Intermediate,Less_than_3,Strength_Training,Multivitamin,Standard,3,6,Regular,0.3,-0.1,1.8,7.4
Male,Under_25,160-170,57,15,Beginner,Less_than_3,HIIT,Fish_Oil,Deep_Sea,4,6,Regular,-0.4,-0.9,1.6,7.9
Male,Under_25,170-180,71,20,Beginner,3-5_times,Endurance,Pre_Workout,Regular,7,5,Low_Carb,-0.5,-0.1,7.9,10
Female,Under_25,150-160,55,19,Advanced,Less_than_3,Strength_Training,Whey_Protein,Concentrate,8,3,Low_Carb,2.7,-0.9,5.8,10
Male,Under_25,180-190,78,13,Beginner,More_than_5,Strength_Training,BCAA,Whey_Based,5,1,Low_Carb,0.5,-0.4,5.5,8
Male,Under_25,170-180,73,20,Beginner,Less_than_3,Strength_Training,Whey_Protein,Concentrate,5,6,Regular,2.2,-0.6,2.5,10
Male,25-35,160-170,64,25,Intermediate,More_than_5,Strength_Training,Pre_Workout,Regular,4,5,Regular,0,0,14.4,10
Male,Over_35,170-180,64,28,Beginner,3-5_times,Endurance,BCAA,Vegan,5,3,High_Protein,-0.5,-0.4,3.7,9.2
Male,Under_25,160-170,58,15,Advanced,3-5_times,Strength_Training,Creatine,HCL,3,6,Low_Carb,6.5,-0.1,16.8,10
Female,Under_25,160-170,60,24,Intermediate,3-5_times,Endurance,Creatine,HCL,6,1,Low_Carb,2.5,-0.2,8.1,10
Male,Under_25,170-180,60,12,Beginner,3-5_times,HIIT,Whey_Protein,Hydrolyzed,8,6,Regular,1,-1.1,3.7,9.7
Male,25-35,160-170,54,16,Advanced,3-5_times,HIIT,BCAA,Whey_Based,8,2,Low_Carb,-0.5,-0.6,7.9,10
Male,Under_25,170-180,63,17,Beginner,More_than_5,Endurance,Creatine,HCL,8,3,Regular,1.7,-0.2,6.9,10
Male,Over_35,170-180,79,20,Beginner,3-5_times,Strength_Training,Creatine,HCL,3,3,High_Protein,4.8,0.1,8.9,10
Male,Under_25,170-180,65,12,Intermediate,3-5_times,Strength_Training,Pre_Workout,Regular,8,2,Regular,-0.2,0.3,11.4,10
Female,Under_25,160-170,69,26,Advanced,3-5_times,Strength_Training,Whey_Protein,Concentrate,5,3,Regular,5.8,-2.1,10,10
Male,Under_25,170-180,63,13,Beginner,Less_than_3,HIIT,Whey_Protein,Hydrolyzed,8,1,Low_Carb,0.4,-0.7,2.5,9.9
Female,Under_25,170-180,66,27,Intermediate,3-5_times,Flexibility,Whey_Protein,Isolate,3,1,High_Protein,2.3,-1.2,2.6,7.8
Male,Over_35,Above_190,109,18,Intermediate,More_than_5,HIIT,BCAA,Whey_Based,5,3,Regular,-0.3,-0.7,7.2,10
Female,Under_25,180-190,74,28,Beginner,3-5_times,Endurance,Whey_Protein,Isolate,8,6,High_Protein,0.6,-0.7,4.8,9.6
Male,25-35,170-180,82,26,Intermediate,More_than_5,Strength_Training,Creatine,Monohydrate,7,7,Regular,8.5,0,15.6,10
Male,25-35,160-170,58,24,Intermediate,Less_than_3,Strength_Training,Energy_Drink,Sugar_Free,3,7,Regular,0.2,-0.1,3.8,8.7
Male,Under_25,160-170,67,24,Beginner,3-5_times,Strength_Training,BCAA,Whey_Based,4,3,Regular,0.6,-0.2,3.7,7.7
Female,25-35,180-190,83,25,Intermediate,3-5_times,Endurance,Whey_Protein,Concentrate,3,3,Regular,2,-0.7,5.7,9.4
Female,25-35,160-170,58,30,Intermediate,Less_than_3,Strength_Training,Creatine,Monohydrate,7,3,High_Protein,5.5,0,10.4,10
Female,Under_25,180-190,73,29,Intermediate,Less_than_3,Flexibility,Whey_Protein,Concentrate,5,2,Low_Carb,1.7,-0.5,1.6,9.5
Male,Under_25,170-180,84,23,Intermediate,3-5_times,Strength_Training,Whey_Protein,Isolate,8,4,Regular,4.6,-1.4,7.6,10
Male,25-35,170-180,71,23,Advanced,Less_than_3,Strength_Training,Pre_Workout,Regular,8,1,High_Protein,0.4,0,9.1,10
Female,Under_25,160-170,58,29,Intermediate,3-5_times,Strength_Training,Multivitamin,Standard,3,6,Regular,0.3,0,3.4,7.3
Female,25-35,170-180,65,22,Beginner,Less_than_3,Strength_Training,Whey_Protein,Isolate,4,7,Low_Carb,1.8,-0.6,3.3,10
Male,25-35,180-190,76,15,Intermediate,3-5_times,Endurance,Multivitamin,Standard,6,7,Regular,-0.6,-0.3,3.2,6.2
Male,25-35,150-160,54,18,Beginner,More_than_5,Strength_Training,BCAA,Whey_Based,4,5,High_Protein,0.1,-0.4,5.5,8.8
Female,25-35,160-170,54,21,Intermediate,More_than_5,HIIT,Creatine,HCL,8,2,Regular,2.5,-0.1,12.9,10
Male,Under_25,170-180,61,19,Intermediate,3-5_times,Endurance,BCAA,Vegan,4,5,Regular,-0.3,-0.6,5.9,9.1
Male,Under_25,150-160,47,24,Intermediate,3-5_times,Strength_Training,Whey_Protein,Concentrate,6,4,Regular,5.1,-1.7,5.5,10
Female,Under_25,160-170,54,29,Beginner,3-5_times,Strength_Training,Creatine,Monohydrate,7,7,Vegan,4.9,0,7.4,10
Male,Under_25,160-170,50,16,Advanced,3-5_times,Endurance,Fish_Oil,Deep_Sea,7,3,Low_Carb,-0.1,-1,3.6,8.4
Male,Over_35,170-180,72,19,Advanced,Less_than_3,Strength_Training,BCAA,Whey_Based,8,1,Vegan,0.7,-0.4,4.9,8
Male,Under_25,170-180,74,12,Beginner,More_than_5,Strength_Training,BCAA,Whey_Based,3,6,Vegan,0.2,-0.3,4.3,8.4
Male,Over_35,160-170,58,18,Intermediate,3-5_times,HIIT,Multivitamin,Standard,4,1,High_Protein,-0.5,0.1,3.5,7
Male,25-35,160-170,52,27,Beginner,3-5_times,Endurance,Fish_Oil,Deep_Sea,8,4,Regular,-0.3,-1,2.5,7.7
Male,Under_25,160-170,62,13,Advanced,More_than_5,HIIT,Whey_Protein,Isolate,4,3,Regular,3.6,-3.4,8.5,10
Male,Under_25,180-190,70,17,Intermediate,Less_than_3,Flexibility,Fish_Oil,Deep_Sea,5,2,Regular,0.6,-0.3,0.4,7.4
Female,Under_25,160-170,61,23,Beginner,More_than_5,HIIT,Creatine,Monohydrate,8,6,High_Protein,1.8,-0.3,9.1,10
Male,25-35,180-190,82,17,Intermediate,3-5_times,Endurance,Pre_Workout,Caffeine_Free,3,7,Regular,-0.6,-0.2,12.6,10
Male,Under_25,170-180,80,18,Intermediate,3-5_times,Endurance,Fish_Oil,Deep_Sea,4,1,High_Protein,-0.5,-1.2,3.2,8
Male,Under_25,160-170,55,14,Intermediate,3-5_times,Strength_Training,Fish_Oil,Deep_Sea,6,3,Low_Carb,0.2,-0.3,1.3,7.5
Female,25-35,170-180,76,24,Advanced,3-5_times,Strength_Training,Creatine,Monohydrate,3,5,Regular,7.6,0,13.5,10
Female,Under_25,170-180,78,18,Advanced,3-5_times,Flexibility,Pre_Workout,Regular,6,1,Regular,0.2,0.1,6.7,10
Male,Under_25,170-180,80,17,Beginner,3-5_times,Endurance,Creatine,Monohydrate,6,4,Regular,0.7,-0.3,5.3,10
Male,25-35,170-180,72,16,Intermediate,Less_than_3,Endurance,Creatine,Monohydrate,6,7,High_Protein,1.2,-0.3,7.3,10
Female,Under_25,170-180,72,25,Advanced,3-5_times,Strength_Training,Whey_Protein,Concentrate,3,1,Regular,5.9,-2.2,8.5,10
Male,Over_35,170-180,83,21,Intermediate,Less_than_3,Flexibility,Whey_Protein,Isolate,4,5,Vegan,1.8,-0.2,2.2,9.5
Male,Under_25,170-180,66,17,Intermediate,3-5_times,Strength_Training,Pre_Workout,Caffeine_Free,6,6,Low_Carb,0.3,0,12,10
Male,Under_25,150-160,64,13,Beginner,Less_than_3,Flexibility,L_Carnitine,Liquid,4,5,Regular,0.3,-1.1,1.9,9.4
Female,Over_35,160-170,67,29,Advanced,3-5_times,Strength_Training,Whey_Protein,Isolate,8,7,Low_Carb,5.1,-1,8.8,10
Male,25-35,160-170,56,23,Intermediate,Less_than_3,HIIT,Creatine,Monohydrate,5,1,High_Protein,0.9,-0.3,8,10
Male,25-35,150-160,52,19,Intermediate,Less_than_3,HIIT,Creatine,Monohydrate,7,3,Low_Carb,1.1,0,6.3,9.4
Male,25-35,170-180,73,18,Intermediate,More_than_5,HIIT,Whey_Protein,Concentrate,8,5,Low_Carb,1,-1.4,8.9,10
Male,25-35,160-170,51,16,Intermediate,More_than_5,HIIT,BCAA,Whey_Based,7,6,Low_Carb,-0.2,-0.3,9.4,9.2
Male,Under_25,160-170,56,23,Beginner,3-5_times,Strength_Training,Creatine,HCL,4,6,Regular,3.6,0,6.2,10
Female,25-35,170-180,78,21,Beginner,3-5_times,Endurance,Creatine,Monohydrate,7,5,Regular,0.8,-0.1,5.9,10
Male,Under_25,170-180,84,18,Beginner,Less_than_3,HIIT,Energy_Drink,Sugar_Free,4,5,Regular,-0.5,-0.3,2.6,7.5
Male,Over_35,170-180,70,22,Intermediate,Less_than_3,Strength_Training,Creatine,Monohydrate,6,3,Low_Carb,3.2,0,8.1,10
Female,Over_35,150-160,50,30,Intermediate,3-5_times,HIIT,Whey_Protein,Isolate,8,2,High_Protein,1.6,-2.2,6.7,10
Male,Under_25,170-180,72,15,Beginner,More_than_5,Strength_Training,Whey_Protein,Isolate,7,2,Regular,4.5,-1.8,5.4,10
Male,Under_25,170-180,77,16,Advanced,3-5_times,HIIT,Multivitamin,Standard,6,6,Low_Carb,-0.1,-0.1,4.8,8.4
Male,Under_25,160-170,69,22,Intermediate,More_than_5,Endurance,Fish_Oil,Deep_Sea,7,1,Regular,-0.5,-1.3,5.7,10
Female,25-35,180-190,80,23,Intermediate,Less_than_3,Endurance,Creatine,Monohydrate,4,4,Regular,0.8,-0.2,6.1,10
Female,Under_25,160-170,69,26,Intermediate,More_than_5,Endurance,Whey_Protein,Concentrate,4,6,Regular,2.6,-1.4,7,10
Male,Under_25,170-180,76,24,Beginner,3-5_times,Endurance,L_Carnitine,Capsule,5,3,Regular,0,-2.9,6.1,10
Male,Under_25,160-170,62,22,Intermediate,Less_than_3,Strength_Training,Whey_Protein,Concentrate,7,5,Low_Carb,2.5,-1.1,4.8,10
Male,Under_25,170-180,75,21,Beginner,More_than_5,Strength_Training,L_Carnitine,Liquid,4,3,Regular,0.2,-2.5,2.6,8.1
Female,Under_25,160-170,55,18,Beginner,3-5_times,Flexibility,BCAA,Vegan,4,4,Regular,0.1,-0.1,1.1,7
Female,25-35,180-190,88,25,Beginner,Less_than_3,Strength_Training,Whey_Protein,Concentrate,6,5,Regular,2.1,-1,3.1,10
Male,25-35,180-190,70,25,Advanced,3-5_times,Flexibility,BCAA,Whey_Based,6,6,Low_Carb,0.1,-0.3,3.6,8
Male,Under_25,180-190,87,14,Beginner,3-5_times,HIIT,Creatine,Monohydrate,7,6,Regular,1.2,-0.2,5.6,10
Male,25-35,170-180,81,21,Intermediate,More_than_5,Endurance,Creatine,HCL,5,4,Regular,4.1,-0.1,10.8,10
Female,Over_35,170-180,66,22,Beginner,3-5_times,Strength_Training,Energy_Drink,Sugar,8,5,Regular,0.4,-0.1,3.9,8.1
Male,Under_25,170-180,74,17,Advanced,3-5_times,Flexibility,Energy_Drink,Sugar_Free,7,4,Low_Carb,0.2,-0.1,3.1,7.8
Female,25-35,180-190,93,26,Intermediate,3-5_times,Strength_Training,Whey_Protein,Concentrate,7,3,High_Protein,6.2,-1.6,7.5,10
Male,Over_35,180-190,75,22,Beginner,3-5_times,Strength_Training,Creatine,Monohydrate,7,3,High_Protein,5.3,0,10.8,10
Female,Over_35,160-170,50,24,Advanced,3-5_times,Strength_Training,Creatine,Monohydrate,5,4,Regular,6.9,0,14.8,10
Male,Under_25,170-180,65,24,Intermediate,3-5_times,Strength_Training,BCAA,Vegan,3,1,Vegan,0.5,-0.5,3.2,8.8
Male,Under_25,Above_190,97,13,Beginner,More_than_5,HIIT,Creatine,Monohydrate,6,4,High_Protein,2.7,-0.2,10.8,10
Female,25-35,160-170,66,21,Intermediate,3-5_times,Flexibility,Pre_Workout,Regular,3,2,Low_Carb,0.3,0,5.8,10
Male,Under_25,170-180,71,12,Beginner,3-5_times,Strength_Training,Creatine,HCL,5,4,Regular,3.9,-0.1,7.4,10
Female,25-35,170-180,62,31,Beginner,More_than_5,Endurance,Pre_Workout,Regular,7,2,Regular,-0.2,-0.3,8.8,10
Female,Under_25,170-180,68,18,Intermediate,3-5_times,Strength_Training,Whey_Protein,Isolate,8,4,High_Protein,5.6,-1.3,5.9,10
Male,Over_35,160-170,68,26,Advanced,3-5_times,Strength_Training,Creatine,HCL,5,4,Regular,8.2,0,14.6,10
Male,Under_25,160-170,72,17,Beginner,3-5_times,HIIT,Whey_Protein,Concentrate,6,4,Regular,0.3,-0.8,4.9,9.6
Male,Under_25,170-180,79,18,Beginner,3-5_times,HIIT,BCAA,Whey_Based,5,4,High_Protein,0,-0.3,4,7.6
Female,Under_25,150-160,64,23,Beginner,3-5_times,HIIT,Whey_Protein,Concentrate,8,4,Regular,0.8,-1.6,3.9,9.3
Male,25-35,Above_190,90,25,Intermediate,3-5_times,HIIT,Creatine,Monohydrate,7,7,High_Protein,3.3,-0.1,9.5,10
Male,25-35,150-160,60,23,Intermediate,More_than_5,Strength_Training,Whey_Protein,Hydrolyzed,8,1,Regular,7.5,-2.5,8.2,10
Female,25-35,160-170,73,28,Intermediate,Less_than_3,HIIT,BCAA,Vegan,4,7,Regular,-0.4,-0.3,5,9
Male,25-35,Above_190,97,18,Intermediate,3-5_times,Strength_Training,Creatine,Monohydrate,7,1,Regular,4.4,0,10.8,10
Male,Over_35,160-170,73,25,Beginner,3-5_times,HIIT,Whey_Protein,Hydrolyzed,4,2,Regular,0.8,-1.6,3.9,9.1
Male,Under_25,170-180,69,15,Advanced,Less_than_3,Strength_Training,BCAA,Whey_Based,5,3,Regular,0.8,-0.3,4,9
Male,25-35,180-190,78,21,Beginner,3-5_times,Endurance,BCAA,Whey_Based,6,2,Regular,-0.5,-0.4,4.3,9
Male,Over_35,Above_190,105,21,Intermediate,More_than_5,Strength_Training,BCAA,Whey_Based,8,2,Regular,0.7,-0.5,7,9.8
Female,Under_25,170-180,84,26,Intermediate,3-5_times,HIIT,Creatine,Monohydrate,6,5,High_Protein,2.6,-0.2,12.1,10
Male,Under_25,170-180,78,14,Intermediate,Less_than_3,Endurance,BCAA,Whey_Based,4,1,Regular,-0.2,-0.4,2.8,7.7
Female,Over_35,180-190,77,22,Beginner,3-5_times,Endurance,BCAA,Whey_Based,5,3,Low_Carb,0,-0.3,4.3,8.6
Male,Under_25,170-180,60,19,Beginner,3-5_times,Strength_Training,Fish_Oil,Deep_Sea,3,1,High_Protein,0.3,-0.6,0.6,7.7
Female,Over_35,170-180,84,32,Beginner,More_than_5,Strength_Training,L_Carnitine,Capsule,3,2,Regular,0.3,-1.8,3.3,9
Male,Over_35,180-190,71,26,Beginner,More_than_5,Strength_Training,Pre_Workout,Regular,7,4,Regular,-0.1,0.2,12.1,10
Female,Over_35,170-180,66,26,Intermediate,Less_than_3,Strength_Training,Creatine,Monohydrate,8,3,Low_Carb,4.1,-0.1,8.7,10
Male,Under_25,160-170,61,13,Beginner,3-5_times,Endurance,Whey_Protein,Hydrolyzed,6,2,Low_Carb,0.8,-0.6,3.2,9.5
Male,Under_25,160-170,61,16,Intermediate,3-5_times,Endurance,Creatine,Monohydrate,4,2,Regular,2.9,-0.4,8.5,10
Female,Under_25,150-160,54,26,Beginner,3-5_times,Strength_Training,Multivitamin,Sport_Enhanced,5,1,Regular,0.2,0.1,2.3,6.6
Female,Over_35,170-180,60,30,Intermediate,3-5_times,Strength_Training,Creatine,Monohydrate,6,1,High_Protein,5.8,-0.1,11.7,10
Female,Under_25,160-170,72,23,Beginner,3-5_times,HIIT,Whey_Protein,Isolate,6,3,Regular,0.6,-1.5,4.5,10
Male,Under_25,170-180,67,19,Intermediate,Less_than_3,Endurance,Creatine,Monohydrate,3,7,High_Protein,1.9,-0.3,7.8,10
Male,25-35,Above_190,102,26,Beginner,3-5_times,Strength_Training,Creatine,Monohydrate,8,5,Regular,4,0,9.1,10
Female,25-35,180-190,70,22,Intermediate,Less_than_3,HIIT,Whey_Protein,Isolate,8,6,Regular,0.6,-1.5,2,9.3
Male,Under_25,160-170,62,22,Beginner,3-5_times,Strength_Training,Whey_Protein,Hydrolyzed,8,1,Regular,2.8,-1.4,3.9,9.9
Male,Over_35,170-180,64,26,Intermediate,3-5_times,Endurance,Creatine,HCL,4,3,High_Protein,2.1,-0.2,9.3,10
Female,25-35,160-170,55,21,Beginner,Less_than_3,Strength_Training,Whey_Protein,Hydrolyzed,3,7,Regular,2.1,-0.9,3,9.5
Male,25-35,170-180,77,22,Beginner,3-5_times,Endurance,Pre_Workout,Caffeine_Free,5,6,Regular,-0.4,-0.5,8.1,10
Male,25-35,150-160,49,27,Intermediate,Less_than_3,Strength_Training,BCAA,Vegan,3,6,High_Protein,0.6,-0.3,3.3,7.6
Male,Under_25,170-180,82,17,Beginner,Less_than_3,Strength_Training,Whey_Protein,Isolate,6,2,Regular,2.2,-0.8,3.8,10
Male,25-35,160-170,70,23,Intermediate,Less_than_3,Strength_Training,Creatine,Monohydrate,5,1,Regular,3.4,0.1,8.1,10
Male,25-35,160-170,74,18,Intermediate,Less_than_3,Endurance,Whey_Protein,Concentrate,6,7,Regular,0.7,-0.8,3.2,9.6
Male,Under_25,170-180,82,18,Intermediate,3-5_times,Endurance,Creatine,Monohydrate,6,6,High_Protein,1.6,-0.2,10.5,10
Female,25-35,160-170,59,23,Beginner,3-5_times,Flexibility,Multivitamin,Standard,7,1,High_Protein,0.5,-0.1,0.9,7
Female,Under_25,170-180,64,24,Intermediate,More_than_5,Strength_Training,Creatine,Monohydrate,3,1,Regular,6.3,-0.1,17.6,10
Female,25-35,160-170,50,30,Intermediate,3-5_times,Endurance,Multivitamin,Sport_Enhanced,3,6,Low_Carb,-0.4,-0.2,4.9,7.6
Male,25-35,170-180,60,26,Intermediate,More_than_5,Strength_Training,L_Carnitine,Liquid,4,2,Regular,0,-2.6,4.3,8.4
Female,Under_25,180-190,74,20,Beginner,Less_than_3,Endurance,L_Carnitine,Capsule,3,2,Regular,-0.4,-2,3.4,10
Male,Under_25,160-170,66,24,Intermediate,More_than_5,HIIT,Creatine,HCL,6,3,Regular,3.5,-0.3,13.8,10
Male,Under_25,160-170,70,14,Beginner,3-5_times,HIIT,Multivitamin,Standard,8,5,Low_Carb,-0.2,-0.3,2.5,6.8
Male,Under_25,170-180,65,23,Advanced,Less_than_3,HIIT,Whey_Protein,Hydrolyzed,7,6,Regular,1.2,-2.1,6,10
Female,Under_25,150-160,48,26,Beginner,3-5_times,Strength_Training,Whey_Protein,Concentrate,3,1,Regular,3.5,-1.1,4.6,10
Female,25-35,160-170,74,24,Intermediate,3-5_times,Endurance,Fish_Oil,Deep_Sea,5,6,High_Protein,-0.4,-1.6,2.9,9.5
Female,Over_35,150-160,60,29,Intermediate,3-5_times,Strength_Training,Multivitamin,Standard,7,1,Regular,0.2,0.1,2.6,6.1
Male,Under_25,170-180,83,19,Intermediate,3-5_times,HIIT,Creatine,Monohydrate,4,2,Low_Carb,2.3,-0.2,10.5,10
Male,25-35,170-180,81,18,Advanced,3-5_times,Flexibility,BCAA,Whey_Based,7,5,Regular,0.3,-0.7,3.5,8.2
Male,Over_35,160-170,60,25,Beginner,More_than_5,Strength_Training,Creatine,Monohydrate,8,6,Regular,4.9,-0.1,10.9,10
Male,25-35,160-170,73,27,Beginner,3-5_times,Flexibility,BCAA,Whey_Based,8,5,High_Protein,0.1,-0.2,1.2,6.4
Male,25-35,180-190,94,26,Beginner,3-5_times,Flexibility,Creatine,Monohydrate,6,7,High_Protein,2,0,3.9,10
Female,25-35,160-170,55,22,Beginner,More_than_5,Flexibility,Pre_Workout,Regular,8,2,High_Protein,0,0.1,6.9,10
Male,Under_25,170-180,62,12,Intermediate,Less_than_3,Strength_Training,L_Carnitine,Capsule,3,7,Regular,0.4,-1.5,2.1,8
Male,25-35,170-180,75,18,Beginner,3-5_times,Strength_Training,Creatine,Monohydrate,5,4,Regular,4.4,0.1,9.1,10
Male,25-35,170-180,81,21,Beginner,Less_than_3,HIIT,Creatine,HCL,8,3,Regular,0.7,-0.4,4.8,9.6
Male,Over_35,180-190,78,22,Beginner,3-5_times,Strength_Training,BCAA,Whey_Based,8,6,High_Protein,0.5,-0.3,4.2,8.6
Male,Under_25,150-160,62,23,Intermediate,3-5_times,HIIT,Pre_Workout,Regular,6,4,Regular,0.1,0,12.3,10
Female,25-35,160-170,56,23,Beginner,3-5_times,Endurance,Whey_Protein,Concentrate,7,3,Low_Carb,0.7,-0.5,3.1,10
Male,25-35,170-180,69,15,Beginner,3-5_times,HIIT,Creatine,Monohydrate,6,2,Regular,1.9,-0.2,6.8,10
Female,Under_25,150-160,45,22,Intermediate,3-5_times,HIIT,L_Carnitine,Liquid,6,3,Low_Carb,-0.2,-2.9,8.6,10
Male,Under_25,160-170,56,19,Beginner,3-5_times,HIIT,Creatine,Monohydrate,5,1,Vegan,2,-0.3,5.4,9.7
Female,25-35,160-170,57,25,Beginner,3-5_times,HIIT,Whey_Protein,Concentrate,6,3,High_Protein,0.9,-1.8,4.5,10
Male,25-35,170-180,79,24,Advanced,3-5_times,Flexibility,Pre_Workout,Regular,3,1,Regular,0.5,-0.1,5.1,10
Female,Under_25,170-180,65,22,Beginner,3-5_times,Strength_Training,Creatine,HCL,3,5,Regular,3.5,0.1,6.4,10
Male,Under_25,170-180,68,12,Beginner,3-5_times,HIIT,BCAA,Whey_Based,7,7,Low_Carb,-0.3,-0.3,3.7,8.2
Male,25-35,180-190,82,18,Advanced,More_than_5,HIIT,Whey_Protein,Hydrolyzed,4,6,Low_Carb,2.7,-2.7,10.5,10
Male,Under_25,170-180,81,24,Beginner,3-5_times,Endurance,Whey_Protein,Concentrate,6,7,High_Protein,1,-0.8,3.3,8.5
Male,25-35,180-190,75,16,Beginner,Less_than_3,Strength_Training,Whey_Protein,Concentrate,4,3,Regular,1.4,-0.9,2.9,9.7
Male,Under_25,170-180,60,23,Advanced,3-5_times,Endurance,Whey_Protein,Concentrate,7,5,Vegan,1.4,-1.6,6.1,10
Female,Under_25,170-180,65,22,Beginner,3-5_times,Strength_Training,Whey_Protein,Hydrolyzed,5,2,Regular,3.7,-0.9,4.3,10
Female,25-35,170-180,60,25,Beginner,3-5_times,Strength_Training,Creatine,Monohydrate,8,3,Regular,4.2,-0.2,9.4,10
Male,25-35,180-190,70,19,Beginner,3-5_times,HIIT,Energy_Drink,Sugar_Free,7,6,Low_Carb,-0.2,-0.2,4,8.2
Female,25-35,180-190,74,31,Beginner,Less_than_3,HIIT,Whey_Protein,Concentrate,6,7,Regular,1.1,-1.1,3.1,9.4
Male,Under_25,160-170,50,16,Beginner,3-5_times,HIIT,Creatine,Monohydrate,3,4,Low_Carb,0.7,-0.1,5,10
Male,Under_25,160-170,67,21,Intermediate,3-5_times,Strength_Training,Whey_Protein,Concentrate,4,5,Low_Carb,3.1,-1.5,6.3,10
Male,Under_25,Above_190,103,16,Intermediate,3-5_times,Strength_Training,L_Carnitine,Liquid,6,2,Regular,0.7,-2.1,1.6,9.6
Female,Under_25,180-190,73,18,Intermediate,3-5_times,Strength_Training,Whey_Protein,Isolate,8,6,Low_Carb,3.9,-1.2,7.2,10
Male,25-35,180-190,84,20,Beginner,3-5_times,Strength_Training,Creatine,HCL,4,1,High_Protein,5,0.1,9.9,10
Female,25-35,180-190,77,26,Beginner,3-5_times,HIIT,BCAA,Vegan,3,4,High_Protein,-0.2,-0.4,4.6,8.7
Male,Over_35,150-160,49,22,Beginner,3-5_times,HIIT,Fish_Oil,Deep_Sea,5,1,Regular,-0.2,-1.1,1.8,7.7
Male,Under_25,Above_190,104,18,Beginner,3-5_times,Flexibility,Creatine,Monohydrate,8,2,Low_Carb,1.9,0,3.4,9.7
Female,Under_25,170-180,65,22,Intermediate,3-5_times,HIIT,Pre_Workout,Regular,3,5,Regular,-0.4,-0.3,13.6,10
Male,Under_25,160-170,60,21,Intermediate,More_than_5,Strength_Training,Whey_Protein,Concentrate,7,3,Regular,5.1,-3,8.1,10
Female,Under_25,170-180,60,27,Intermediate,Less_than_3,Endurance,Creatine,Monohydrate,8,2,Regular,1.3,-0.4,3.9,10
Male,Over_35,180-190,94,25,Intermediate,3-5_times,Strength_Training,Creatine,Monohydrate,7,6,High_Protein,6.7,0,13.4,10
Female,25-35,Above_190,103,24,Beginner,3-5_times,Strength_Training,Whey_Protein,Hydrolyzed,8,5,High_Protein,3.6,-1,4,10
